id,saleprice
2658,170820.46114268154
2718,232184.02397851227
2414,187144.53582124691
1989,126874.31578528392
625,187789.07424021186
333,89354.17383837956
1327,119375.84987219516
858,158455.93664506823
95,214589.45405895705
1568,165712.467821965
2482,171347.2140975243
1364,130369.46575147379
2584,176480.8931128392
818,277848.30971240206
2673,181738.29830314103
2089,126713.79860043735
1297,159431.65629527625
790,123740.74981460953
2616,208222.1743882075
720,202166.39997987426
222,139313.2165362977
557,118076.14207383618
1148,219258.0826286641
2766,146603.53319707979
534,217384.30988853052
1452,108660.31087574386
630,140198.24433760392
2648,134991.05187122035
125,144832.09868506948
1904,10400.502832029015
1670,108144.50442846795
756,93486.13517654291
717,276533.36320020445
1032,158955.93309355108
852,232508.24741722015
1731,184124.97940518893
2639,137963.16192535777
2071,63468.787059501046
1267,96729.9312230125
1851,217170.008545432
567,156984.01442510192
2439,220654.8648407287
1898,171996.68753298535
647,158202.78563969373
2256,219662.52125625173
979,111029.12120519183
1444,224609.35244268877
2485,108859.37409679173
157,124453.40022092825
88,122832.92878367286
2003,105051.02987035038
186,202808.38577425806
1425,278393.2333652079
2695,136181.789688576
738,94368.51475105225
395,161433.2005222761
1353,178773.81643423578
1878,160398.80132262432
390,177309.56167359324
1456,241144.01121367095
1103,318955.8273787757
1387,125633.29923721217
2070,149754.20055123256
1199,199284.81860079477
2479,175719.26606383198
501,316209.46301853517
2362,76532.30747373938
1718,210604.52267137845
2188,46650.52468622336
1483,148480.57364457357
2557,59573.12872284022
437,318861.8706270484
2224,207656.58472338505
1628,169037.6268655823
397,130217.23699944909
587,227105.41577088204
971,162910.9131367188
2611,163256.74258254236
1887,74545.0918094241
2399,310637.47692530067
2148,225258.49938118667
304,134305.5623859216
1997,124938.30011709454
2817,105624.08196664555
1431,182887.25841159653
427,353873.17611782206
263,115914.28406369081
598,167934.69525812124
2895,255944.29309987486
687,177082.36190598947
1822,130722.20136531489
2191,105220.24326299247
179,149573.25807428383
1009,206558.02277831244
2010,113933.45307686506
1991,157152.58661005902
1411,170862.91339970985
1721,261543.41371188127
1144,195884.05682067387
593,225259.55487241969
575,271833.75544123934
1249,191247.0764752829
1604,119773.63778386149
1064,417337.56045164866
1923,161070.2799927597
1988,94143.64568603924
2325,163167.95486237435
114,204279.6437291482
2700,236780.1929835428
217,168407.48258887557
343,186873.7597003237
386,253042.72594023496
2005,101166.92347298143
2908,147706.73281649454
1814,225542.9328376737
2446,431870.40712686116
208,135958.02919687447
1679,115550.41988670896
822,307713.8739606908
6,185812.79022132163
1781,365142.7880509575
2397,270036.1450521657
2340,290851.33275301824
1618,166211.69657420204
2843,147227.832107611
1061,338298.72513714735
2786,108047.86337868008
1935,130519.75465422054
1341,117641.54509537062
521,293601.07464568364
2136,115916.39317278378
996,188866.57441760856
227,142324.04334138357
135,168040.18475432927
1167,173042.40438271617
294,250103.66082767374
1776,222567.90255948808
540,204267.64510220615
1717,210604.52267137845
2303,108422.83322707238
116,207129.39830215974
127,133565.75600450323
1371,149357.36871008808
1014,193637.96749640396
1507,89660.5693766512
702,159247.2674618857
750,166726.77703502844
261,154990.9501750071
1559,50121.31965727359
577,256680.83078428125
2812,216854.6476450921
2080,171094.72424290003
1368,138013.26587381377
2376,107742.29999433295
659,99232.64153768355
1235,121678.53058362426
332,76033.95280934474
1917,142712.8024007096
2094,253984.7523687121
1460,294727.50792597677
1471,206734.18341372325
1509,125383.61740333261
1922,136692.81496150722
433,424535.91486995155
460,265292.8947037894
1116,267110.5344827976
1137,185579.71798391244
53,188448.18815945415
2354,259139.5654802241
1475,221989.3416510173
1761,509795.81026335806
842,142354.92260549078
2739,181916.85644580727
2509,168129.1447745564
1007,213165.3739549052
2610,192395.45004160376
1952,64404.51883768337
2719,230513.86667192006
2921,88095.42033173935
1966,144051.05334050674
292,129754.24838329898
1204,209232.7669793372
1829,255996.21718538622
2419,191416.2172037633
391,166039.63330144482
798,122080.81478181528
481,189688.80705950223
193,234557.22311406513
555,116365.0028801933
899,47610.075478609186
2357,192437.47812798293
328,115774.06368755503
1356,113554.10503886594
1154,101755.14611263294
1730,172671.7784485321
2249,141038.61989360536
1119,264982.40068068355
2856,120177.31872008136
1394,150095.22478267387
2587,114386.46163628343
61,333150.7894408782
2661,229980.16328803776
2711,130612.58958337479
1147,186835.17711471533
757,151321.4213079675
2623,66976.1711602062
2378,158746.81525724754
1413,149084.69174020994
1722,233771.69079951174
1112,218230.81158118835
1623,192875.088913023
1201,191056.59793528938
1513,119653.25525720883
957,267978.4559976584
1171,268437.0139628097
1145,206285.22943331045
2726,257892.31496914313
703,167477.36506146844
760,59738.85031274543
1964,136654.56176548498
2512,186072.942569589
159,177454.8098519405
1281,185909.8704703031
468,172395.48779982817
290,111726.20154386852
665,83816.5058904509
1463,293830.1952182639
1792,237656.90917600063
923,146578.36509843497
500,284920.8247034538
1408,176414.22762173647
331,52026.95726451068
170,125340.58897684515
2192,71570.63864401169
